"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 20, 2021","1,350.48","1,352.64","1,365.92","1,349.18","895.46K","-0.16%"
"Sep 17, 2021","1,352.64","1,345.87","1,356.45","1,345.87","852.78K","0.50%"
"Sep 16, 2021","1,345.87","1,345.83","1,353.12","1,341.23","599.77K","0.00%"
"Sep 15, 2021","1,345.83","1,339.70","1,347.70","1,334.97","692.09K","0.46%"
"Sep 14, 2021","1,339.70","1,341.43","1,349.13","1,336.84","730.45K","-0.13%"
"Sep 13, 2021","1,341.43","1,345.31","1,350.69","1,340.50","775.47K","-0.29%"
"Sep 10, 2021","1,345.31","1,343.98","1,350.43","1,343.98","598.73K","0.10%"
"Sep 09, 2021","1,343.98","1,333.61","1,345.59","1,332.67","642.57K","0.78%"
"Sep 08, 2021","1,333.61","1,341.90","1,344.49","1,328.35","626.08K","-0.62%"
"Sep 07, 2021","1,341.90","1,346.39","1,353.66","1,340.32","869.38K","-0.33%"
"Sep 06, 2021","1,346.39","1,334.65","1,348.36","1,334.65","944.41K","0.88%"
"Sep 01, 2021","1,334.65","1,331.47","1,338.02","1,328.13","719.96K","0.24%"
"Aug 31, 2021","1,331.47","1,328.14","1,336.14","1,325.69","733.83K","0.25%"
"Aug 30, 2021","1,328.14","1,313.20","1,329.62","1,313.20","676.54K","1.14%"
"Aug 27, 2021","1,313.20","1,301.12","1,313.20","1,285.16","685.06K","0.93%"
"Aug 26, 2021","1,301.12","1,309.55","1,316.26","1,295.77","524.29K","-0.64%"
"Aug 25, 2021","1,309.55","1,298.74","1,310.16","1,291.70","522.87K","0.83%"
"Aug 24, 2021","1,298.74","1,298.86","1,307.56","1,289.16","714.27K","-0.01%"
"Aug 23, 2021","1,298.86","1,329.43","1,329.43","1,298.86","795.07K","-2.30%"
"Aug 20, 2021","1,329.43","1,374.85","1,374.85","1,317.52","1.21M","-3.30%"
"Aug 19, 2021","1,374.85","1,360.94","1,374.85","1,352.94","728.17K","1.02%"
"Aug 18, 2021","1,360.94","1,363.09","1,370.50","1,355.83","689.78K","-0.16%"
"Aug 17, 2021","1,363.09","1,370.96","1,379.70","1,359.11","768.61K","-0.57%"
"Aug 16, 2021","1,370.96","1,357.05","1,372.33","1,357.05","827.71K","1.03%"
"Aug 13, 2021","1,357.05","1,353.05","1,357.41","1,336.74","744.15K","0.30%"
"Aug 12, 2021","1,353.05","1,357.79","1,365.01","1,353.05","741.56K","-0.35%"
"Aug 11, 2021","1,357.79","1,362.43","1,374.03","1,357.79","806.77K","-0.34%"
"Aug 10, 2021","1,362.43","1,359.86","1,370.35","1,358.12","716.54K","0.19%"
"Aug 09, 2021","1,359.86","1,341.45","1,361.12","1,334.69","688.43K","1.37%"
"Aug 06, 2021","1,341.45","1,345.55","1,351.85","1,341.45","736.16K","-0.30%"
"Aug 05, 2021","1,345.55","1,334.74","1,346.62","1,326.80","635.47K","0.81%"
"Aug 04, 2021","1,334.74","1,332.44","1,340.76","1,328.40","661.80K","0.17%"
"Aug 03, 2021","1,332.44","1,314.22","1,332.44","1,314.22","647.01K","1.39%"
"Aug 02, 2021","1,314.22","1,310.05","1,322.35","1,304.49","614.53K","0.32%"
"Jul 30, 2021","1,310.05","1,293.60","1,311.97","1,293.60","644.44K","1.27%"
"Jul 29, 2021","1,293.60","1,277.07","1,293.60","1,277.07","491.06K","1.29%"
"Jul 28, 2021","1,277.07","1,276.93","1,281.17","1,271.78","406.89K","0.01%"
"Jul 27, 2021","1,276.93","1,272.71","1,288.35","1,272.71","566.75K","0.33%"
"Jul 26, 2021","1,272.71","1,268.83","1,277.33","1,254.57","508.55K","0.31%"
"Jul 23, 2021","1,268.83","1,293.67","1,295.63","1,268.83","582.25K","-1.92%"
"Jul 22, 2021","1,293.67","1,270.79","1,294.16","1,266.54","536.41K","1.80%"
"Jul 21, 2021","1,270.79","1,273.29","1,284.33","1,266.71","451.95K","-0.20%"
"Jul 20, 2021","1,273.29","1,243.51","1,273.29","1,225.52","568.60K","2.39%"
"Jul 19, 2021","1,243.51","1,299.31","1,299.31","1,237.79","731.02K","-4.29%"
"Jul 16, 2021","1,299.31","1,293.92","1,304.37","1,293.92","415.12K","0.42%"
"Jul 15, 2021","1,293.92","1,279.91","1,299.18","1,270.77","419.14K","1.09%"
"Jul 14, 2021","1,279.91","1,297.54","1,305.37","1,264.68","547.97K","-1.36%"
"Jul 13, 2021","1,297.54","1,296.30","1,307.73","1,278.30","500.18K","0.10%"
"Jul 12, 2021","1,296.30","1,347.14","1,347.14","1,270.06","912.74K","-3.77%"
"Jul 09, 2021","1,347.14","1,374.68","1,374.68","1,335.90","713.99K","-2.00%"
"Jul 08, 2021","1,374.68","1,388.55","1,388.55","1,363.92","552.30K","-1.00%"
"Jul 07, 2021","1,388.55","1,354.79","1,388.55","1,334.58","785.19K","2.49%"
"Jul 06, 2021","1,354.79","1,417.10","1,417.95","1,354.79","799.51K","-3.99%"
"Jul 05, 2021","1,411.13","1,420.27","1,420.27","1,399.34","814.46K","-0.64%"
"Jul 02, 2021","1,420.27","1,422.89","1,424.28","1,415.82","706.83K","0.23%"
"Jul 01, 2021","1,417.08","1,412.15","1,417.27","1,402.18","753.56K","0.61%"
"Jun 30, 2021","1,408.55","1,410.83","1,419.61","1,408.18","595.29K","-0.11%"
"Jun 29, 2021","1,410.04","1,408.34","1,416.34","1,406.87","647.39K","0.30%"
"Jun 28, 2021","1,405.81","1,397.96","1,406.02","1,390.56","699.51K","1.13%"
"Jun 25, 2021","1,390.12","1,382.11","1,390.12","1,372.80","598.11K","0.75%"
"Jun 24, 2021","1,379.72","1,376.87","1,384.71","1,372.99","591.75K","0.21%"
"Jun 23, 2021","1,376.87","1,383.15","1,388.33","1,372.06","710.77K","-0.22%"
"Jun 22, 2021","1,379.97","1,380.84","1,385.98","1,375.00","746.95K","0.53%"
"Jun 21, 2021","1,372.63","1,373.59","1,381.74","1,367.85","768.18K","-0.37%"
"Jun 18, 2021","1,377.77","1,366.19","1,377.77","1,363.52","809.47K","1.31%"
"Jun 17, 2021","1,359.92","1,341.06","1,364.55","1,337.49","768.73K","0.25%"
"Jun 16, 2021","1,356.52","1,363.85","1,370.14","1,350.73","769.63K","-0.79%"
"Jun 15, 2021","1,367.36","1,361.58","1,372.72","1,356.59","730.94K","0.41%"
"Jun 14, 2021","1,361.72","1,352.73","1,368.53","1,352.73","775.73K","0.74%"
"Jun 11, 2021","1,351.74","1,326.79","1,352.47","1,322.08","731.26K","2.13%"
"Jun 10, 2021","1,323.58","1,332.90","1,336.71","1,317.49","723.49K","-0.70%"
"Jun 09, 2021","1,332.90","1,323.52","1,339.14","1,312.08","822.29K","0.99%"
"Jun 08, 2021","1,319.88","1,355.36","1,364.48","1,318.11","924.51K","-2.86%"
"Jun 07, 2021","1,358.78","1,374.59","1,375.74","1,347.21","876.69K","-1.11%"
"Jun 04, 2021","1,374.05","1,367.06","1,374.05","1,360.42","943.33K","0.72%"
"Jun 03, 2021","1,364.28","1,345.21","1,366.00","1,345.21","898.88K","1.75%"
"Jun 02, 2021","1,340.78","1,337.78","1,344.98","1,330.82","805.24K","0.22%"
"Jun 01, 2021","1,337.78","1,329.47","1,346.34","1,328.84","629.42K","0.73%"
"May 31, 2021","1,328.05","1,326.65","1,328.05","1,307.56","737.18K","0.57%"
"May 28, 2021","1,320.46","1,307.79","1,323.09","1,300.06","768.85K","1.30%"
"May 27, 2021","1,303.57","1,318.42","1,319.67","1,299.99","733.00K","-1.00%"
"May 26, 2021","1,316.70","1,308.04","1,317.30","1,304.68","713.07K","0.62%"
"May 25, 2021","1,308.58","1,299.19","1,308.58","1,297.23","679.06K","0.82%"
"May 24, 2021","1,297.98","1,287.50","1,299.83","1,287.36","715.51K","1.09%"
"May 21, 2021","1,283.93","1,272.84","1,289.03","1,268.46","698.93K","0.45%"
"May 20, 2021","1,278.22","1,264.62","1,278.22","1,255.78","745.21K","1.25%"
"May 19, 2021","1,262.49","1,254.78","1,262.71","1,250.58","694.35K","0.78%"
"May 18, 2021","1,252.68","1,259.57","1,262.22","1,249.02","692.48K","-0.48%"
"May 17, 2021","1,258.70","1,272.55","1,277.83","1,258.50","758.29K","-0.60%"
"May 14, 2021","1,266.36","1,266.43","1,271.45","1,259.97","730.99K","0.35%"
"May 13, 2021","1,261.99","1,262.98","1,273.49","1,261.99","711.52K","-0.56%"
"May 12, 2021","1,269.09","1,251.97","1,269.09","1,249.18","700.67K","1.04%"
"May 11, 2021","1,256.04","1,265.11","1,272.55","1,256.04","770.09K","-0.28%"
"May 10, 2021","1,259.58","1,239.96","1,259.58","1,236.85","773.06K","1.43%"
"May 07, 2021","1,241.81","1,245.48","1,250.50","1,231.92","783.04K","-0.70%"
"May 06, 2021","1,250.57","1,255.42","1,261.49","1,246.64","730.50K","-0.47%"
"May 05, 2021","1,256.43","1,244.69","1,265.93","1,244.69","744.43K","1.15%"
"May 04, 2021","1,242.20","1,222.08","1,242.80","1,212.56","798.49K","0.23%"
"Apr 29, 2021","1,239.39","1,234.91","1,239.39","1,231.25","647.16K","0.80%"
"Apr 28, 2021","1,229.55","1,220.26","1,230.91","1,217.49","612.70K","0.80%"
"Apr 27, 2021","1,219.75","1,213.84","1,220.96","1,204.14","618.17K","0.33%"
"Apr 26, 2021","1,215.77","1,251.25","1,251.25","1,214.14","744.95K","-2.62%"
"Apr 23, 2021","1,248.53","1,227.18","1,248.53","1,216.15","716.52K","1.69%"
"Apr 22, 2021","1,227.82","1,264.31","1,271.98","1,227.82","770.37K","-3.19%"
"Apr 20, 2021","1,268.28","1,267.74","1,286.32","1,261.28","843.60K","0.61%"
"Apr 19, 2021","1,260.58","1,243.58","1,260.58","1,233.77","817.13K","1.77%"
"Apr 16, 2021","1,238.71","1,245.06","1,254.61","1,227.14","986.88K","-0.68%"
"Apr 15, 2021","1,247.25","1,262.25","1,265.87","1,247.25","806.49K","-0.69%"
"Apr 14, 2021","1,255.87","1,240.90","1,255.87","1,233.01","861.96K","0.60%"
"Apr 13, 2021","1,248.33","1,262.44","1,268.02","1,247.66","1.03M","-0.33%"
"Apr 12, 2021","1,252.45","1,236.79","1,252.45","1,232.35","890.31K","1.69%"
"Apr 09, 2021","1,231.66","1,231.51","1,234.98","1,227.60","732.82K","-0.26%"
"Apr 08, 2021","1,234.89","1,242.38","1,246.40","1,232.26","664.51K","-0.60%"
"Apr 07, 2021","1,242.38","1,237.39","1,242.38","1,232.52","727.82K","0.20%"
"Apr 06, 2021","1,239.96","1,233.37","1,244.63","1,231.14","694.06K","0.32%"
"Apr 05, 2021","1,236.05","1,245.28","1,245.28","1,228.18","693.04K","0.95%"
"Apr 02, 2021","1,224.45","1,225.76","1,228.29","1,221.07","661.89K","0.69%"
"Apr 01, 2021","1,216.10","1,194.59","1,217.26","1,192.83","672.84K","2.07%"
"Mar 31, 2021","1,191.44","1,186.36","1,196.45","1,186.36","703.08K","0.43%"
"Mar 30, 2021","1,186.36","1,179.64","1,187.29","1,172.85","780.73K","0.91%"
"Mar 29, 2021","1,175.68","1,169.65","1,175.77","1,165.78","660.95K","1.16%"
"Mar 26, 2021","1,162.21","1,162.71","1,165.76","1,137.90","670.46K","-0.08%"
"Mar 25, 2021","1,163.10","1,164.41","1,170.76","1,154.44","690.73K","0.11%"
"Mar 24, 2021","1,161.81","1,169.42","1,174.20","1,154.22","750.48K","-1.83%"
"Mar 23, 2021","1,183.45","1,190.28","1,191.47","1,177.10","683.72K","-0.92%"
"Mar 22, 2021","1,194.43","1,200.05","1,200.21","1,189.31","700.87K","0.03%"
"Mar 19, 2021","1,194.05","1,195.47","1,199.67","1,191.96","680.90K","-0.57%"
"Mar 18, 2021","1,200.94","1,196.60","1,200.94","1,191.94","628.64K","1.25%"
"Mar 17, 2021","1,186.09","1,178.64","1,186.09","1,176.26","701.09K","0.52%"
"Mar 16, 2021","1,179.90","1,184.91","1,184.91","1,171.76","683.85K","-0.39%"
"Mar 15, 2021","1,184.56","1,183.89","1,186.06","1,178.80","676.96K","0.25%"
"Mar 12, 2021","1,181.56","1,185.21","1,186.52","1,178.14","624.71K","-0.01%"
"Mar 11, 2021","1,181.73","1,170.08","1,183.73","1,170.08","629.10K","1.00%"
"Mar 10, 2021","1,170.08","1,163.86","1,170.59","1,154.89","723.92K","0.70%"
"Mar 09, 2021","1,161.97","1,160.96","1,166.42","1,150.94","641.43K","-0.54%"
"Mar 08, 2021","1,168.27","1,180.33","1,181.25","1,164.02","652.70K","-0.04%"
"Mar 05, 2021","1,168.69","1,164.19","1,169.56","1,155.60","594.84K","0.01%"
"Mar 04, 2021","1,168.52","1,191.78","1,191.90","1,159.48","673.45K","-1.55%"
"Mar 03, 2021","1,186.95","1,184.73","1,189.18","1,180.25","631.67K","0.03%"
"Mar 02, 2021","1,186.61","1,196.16","1,196.16","1,181.99","577.01K","0.04%"
"Mar 01, 2021","1,186.17","1,176.93","1,186.82","1,174.45","643.38K","1.51%"
"Feb 26, 2021","1,168.47","1,148.88","1,169.28","1,148.88","554.46K","0.26%"
"Feb 25, 2021","1,165.43","1,169.97","1,169.97","1,155.74","510.43K","0.29%"
"Feb 24, 2021","1,162.01","1,184.32","1,185.58","1,154.36","603.00K","-1.33%"
"Feb 23, 2021","1,177.64","1,174.57","1,184.32","1,168.32","598.27K","0.22%"
"Feb 22, 2021","1,175.04","1,173.57","1,182.67","1,169.12","630.04K","0.13%"
"Feb 19, 2021","1,173.50","1,160.65","1,178.18","1,157.60","578.28K","-0.07%"
"Feb 18, 2021","1,174.38","1,157.10","1,174.38","1,148.66","614.82K","1.61%"
"Feb 17, 2021","1,155.78","1,127.46","1,155.78","1,127.46","568.03K","3.66%"
"Feb 09, 2021","1,114.93","1,090.88","1,114.93","1,078.98","519.81K","2.93%"
"Feb 08, 2021","1,083.18","1,127.06","1,127.06","1,075.10","696.60K","-3.88%"
"Feb 05, 2021","1,126.91","1,114.79","1,126.91","1,112.19","529.87K","1.32%"
"Feb 04, 2021","1,112.19","1,112.97","1,117.88","1,098.85","523.41K","0.08%"
"Feb 03, 2021","1,111.29","1,084.87","1,113.24","1,082.95","703.18K","3.32%"
"Feb 02, 2021","1,075.53","1,036.95","1,075.53","1,029.36","602.62K","3.86%"
"Feb 01, 2021","1,035.51","1,056.61","1,074.52","1,035.51","634.33K","-2.00%"
"Jan 29, 2021","1,056.61","998.33","1,076.11","998.33","797.39K","3.19%"
"Jan 28, 2021","1,023.94","1,041.71","1,052.16","1,022.77","767.87K","-6.67%"
"Jan 27, 2021","1,097.17","1,122.41","1,132.99","1,088.86","785.70K","-3.43%"
"Jan 26, 2021","1,136.12","1,164.97","1,164.97","1,121.03","782.27K","-2.57%"
"Jan 25, 2021","1,166.05","1,164.20","1,172.18","1,162.80","707.24K","-0.06%"
"Jan 22, 2021","1,166.78","1,166.77","1,175.72","1,161.43","758.32K","0.22%"
"Jan 21, 2021","1,164.21","1,146.86","1,164.21","1,132.66","721.92K","2.60%"
"Jan 20, 2021","1,134.68","1,136.50","1,142.48","1,098.05","839.30K","0.33%"
"Jan 19, 2021","1,131.00","1,189.91","1,189.91","1,117.17","986.19K","-5.11%"
"Jan 18, 2021","1,191.94","1,198.79","1,200.85","1,190.33","747.42K","-0.19%"
"Jan 15, 2021","1,194.20","1,188.84","1,197.74","1,188.84","783.11K","0.57%"
"Jan 14, 2021","1,187.40","1,189.48","1,190.50","1,178.84","779.34K","0.11%"
"Jan 13, 2021","1,186.05","1,197.32","1,200.82","1,183.18","819.29K","-0.52%"
"Jan 12, 2021","1,192.28","1,190.38","1,192.28","1,179.24","719.94K","0.62%"
"Jan 11, 2021","1,184.89","1,176.47","1,186.45","1,175.00","845.85K","1.47%"
"Jan 08, 2021","1,167.69","1,164.10","1,176.33","1,160.48","808.31K","0.97%"
"Jan 07, 2021","1,156.49","1,147.26","1,156.49","1,143.44","763.74K","1.16%"
"Jan 06, 2021","1,143.21","1,139.12","1,152.85","1,133.70","790.45K","0.94%"
"Jan 05, 2021","1,132.55","1,116.96","1,134.45","1,116.49","763.43K","1.08%"
"Jan 04, 2021","1,120.47","1,113.77","1,126.43","1,113.59","764.04K","1.50%"
"Dec 31, 2020","1,103.87","1,098.25","1,105.33","1,096.27","527.82K","0.58%"
"Dec 30, 2020","1,097.54","1,099.78","1,108.83","1,094.91","676.98K","-0.18%"
"Dec 29, 2020","1,099.49","1,090.49","1,102.79","1,087.93","678.82K","0.75%"
"Dec 28, 2020","1,091.33","1,094.37","1,096.11","1,083.90","723.88K","0.64%"
"Dec 25, 2020","1,084.42","1,068.83","1,084.42","1,061.83","652.81K","1.58%"
"Dec 24, 2020","1,067.52","1,083.83","1,084.76","1,046.89","757.32K","-1.05%"
"Dec 23, 2020","1,078.90","1,087.89","1,094.09","1,077.92","813.17K","-0.42%"
"Dec 22, 2020","1,083.45","1,081.85","1,084.23","1,077.06","756.11K","0.22%"
"Dec 21, 2020","1,081.08","1,071.62","1,081.60","1,070.86","713.66K","1.28%"
"Dec 18, 2020","1,067.46","1,055.75","1,068.56","1,055.75","623.64K","1.49%"
"Dec 17, 2020","1,051.77","1,065.85","1,065.85","1,051.42","667.89K","-1.43%"
"Dec 16, 2020","1,066.99","1,058.34","1,066.99","1,057.21","591.57K","1.11%"
"Dec 15, 2020","1,055.27","1,062.02","1,067.45","1,052.01","675.18K","-0.83%"
"Dec 14, 2020","1,064.09","1,048.97","1,064.09","1,048.97","583.59K","1.73%"
"Dec 11, 2020","1,045.96","1,033.19","1,045.96","1,030.06","463.77K","1.46%"
"Dec 10, 2020","1,030.91","1,041.65","1,044.10","1,030.91","626.45K","-0.79%"
"Dec 09, 2020","1,039.13","1,029.26","1,039.55","1,029.26","586.05K","0.96%"
"Dec 08, 2020","1,029.26","1,029.98","1,032.58","1,025.63","527.67K","-0.07%"
"Dec 07, 2020","1,029.98","1,024.34","1,030.41","1,022.14","520.34K","0.83%"
"Dec 04, 2020","1,021.49","1,019.80","1,025.17","1,018.67","553.59K","0.17%"
"Dec 03, 2020","1,019.80","1,016.73","1,020.35","1,014.06","518.91K","0.54%"
"Dec 02, 2020","1,014.32","1,008.77","1,015.86","1,007.91","684.53K","0.54%"
"Dec 01, 2020","1,008.87","988.71","1,008.87","988.71","583.31K","0.58%"
"Nov 30, 2020","1,003.08","1,011.82","1,012.50","1,002.61","532.93K","-0.71%"
"Nov 27, 2020","1,010.22","1,006.68","1,010.22","1,004.00","446.44K","0.42%"
"Nov 26, 2020","1,005.97","999.24","1,005.97","994.91","493.56K","0.60%"
"Nov 25, 2020","999.94","1,000.39","1,002.31","996.80","475.74K","0.42%"
"Nov 24, 2020","995.76","996.55","997.99","984.92","550.07K","0.16%"
"Nov 23, 2020","994.19","991.87","995.90","985.38","489.69K","0.42%"
"Nov 20, 2020","990.00","984.71","990.00","980.72","501.05K","0.69%"
"Nov 19, 2020","983.26","975.32","983.26","974.33","500.12K","1.00%"
"Nov 18, 2020","973.53","969.48","974.30","966.32","478.68K","0.48%"
"Nov 17, 2020","968.90","955.52","968.90","953.22","400.96K","1.90%"
"Nov 16, 2020","950.79","970.11","972.98","950.50","518.93K","-1.60%"
"Nov 13, 2020","966.29","959.56","966.29","959.13","457.83K","0.73%"
"Nov 12, 2020","959.28","953.97","959.28","953.62","343.91K","0.74%"
"Nov 11, 2020","952.22","954.46","956.65","947.61","376.51K","0.03%"
"Nov 10, 2020","951.90","962.68","963.47","951.90","456.75K","-0.01%"
"Nov 09, 2020","951.99","942.15","951.99","942.15","393.20K","1.46%"
"Nov 06, 2020","938.29","939.73","941.20","934.63","268.23K","0.06%"
"Nov 05, 2020","937.75","940.32","945.51","937.75","304.33K","-0.21%"
"Nov 04, 2020","939.76","935.41","943.56","933.86","350.87K","0.47%"
"Nov 03, 2020","935.41","936.73","937.57","932.18","318.70K","0.19%"
"Nov 02, 2020","933.68","926.09","933.68","924.14","297.60K","0.89%"
"Oct 30, 2020","925.47","925.41","926.32","911.20","312.75K","0.70%"
"Oct 29, 2020","919.08","916.49","925.84","914.33","436.13K","-0.21%"
"Oct 28, 2020","921.05","942.82","946.91","921.05","456.06K","-2.69%"
"Oct 27, 2020","946.47","950.80","954.72","946.28","455.85K","-0.46%"
"Oct 26, 2020","950.80","967.52","970.15","950.80","428.25K","-1.09%"
"Oct 23, 2020","961.26","953.45","961.26","953.14","452.49K","1.20%"
"Oct 22, 2020","949.90","938.06","949.90","933.78","365.12K","1.16%"
"Oct 21, 2020","939.03","947.16","948.20","939.00","412.65K","-0.57%"
"Oct 20, 2020","944.42","941.00","944.54","937.32","444.33K","0.08%"
"Oct 19, 2020","943.69","945.01","946.29","941.92","389.47K","0.04%"
"Oct 16, 2020","943.30","944.03","946.23","935.98","443.33K","0.06%"
"Oct 15, 2020","942.76","945.28","945.93","938.70","470.51K","0.27%"
"Oct 14, 2020","940.18","931.89","940.18","931.89","474.92K","1.11%"
